federal_account_symbol,federal_account_name,agency_name,budget_function,budget_subfunction,budget_authority_unobligated_balance_brought_forward,adjustments_to_unobligated_balance_brought_forward,budget_authority_appropriated_amount,borrowing_authority_amount,contract_authority_amount,spending_authority_from_offsetting_collections_amount,total_other_budgetary_resources_amount,total_budgetary_resources,obligations_incurred,deobligations_or_recoveries_or_refunds_from_prior_year,unobligated_balance,gross_outlay_amount,status_of_budgetary_resources_total
075-0958,"Birth Defects, Developmental Disabilities, Disabilities and Health, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,Health,Health care services,5296277.24,147433.53,137242235.00,0.00,0.00,0.00,0.00,142685945.77,137859774.34,3493729.39,4826171.43,134328534.20,142685945.77
016-8144,"Black Lung Disability Trust Fund - Treasury Managed, Labor",,Income Security,General retirement and disability insurance (excluding social se,0.00,11890733.77,382441582.96,0.00,0.00,0.00,0.00,394332316.73,394332316.73,11890733.77,0.00,382896882.62,394332316.73
036-1122,"Board of Veterans Appeals, Departmental Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Other veterans benefits and services,3993935.40,2108848.55,145596000.00,0.00,0.00,0.00,0.00,151698783.95,130927650.59,2108848.55,20771133.36,128592015.51,151698783.95
070-8149,"Boat Safety, USCG, Homeland Security",Department of Homeland Security,Transportation,Water transportation,8014243.00,4006177.24,113022516.00,0.00,0.00,0.00,0.00,125042936.24,120862551.31,4006177.24,4180384.93,111382775.28,125042936.24
089-4045,"Bonneville Power Administration Fund, Power Marketing Administration, Energy",Department of Energy,Energy,Energy supply,13275808.34,2041.19,0.00,250000000.00,2945486391.97,776541801.00,3972028192.97,3985306042.50,3972590031.19,2041.19,12716011.31,3907779153.81,3985306042.50
070-0533,"Border Security Fencing, Infrastructure, and Technology, U.S. Customs and Border Protection, Homeland Security",Department of Homeland Security,Administration of Justice,Federal law enforcement activities,265240464.54,62962260.00,-21150000.00,0.00,0.00,0.00,0.00,307052724.54,217168212.34,62962260.00,89884512.20,342464438.81,307052724.54
070-5126,"Breach Bond/Detention Fund, Border and Transportation Security, Homeland Security",Department of Homeland Security,Administration of Justice,Federal law enforcement activities,13271779.66,35099.61,54945139.32,0.00,0.00,0.00,0.00,68252018.59,54903028.86,35099.61,13348989.73,65998284.42,68252018.59
069-8057,"Bridge Capacity Improvement, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,3797451.50,0.00,0.00,0.00,0.00,0.00,0.00,3797451.50,0.00,0.00,3797451.50,0.00,3797451.50
069-0516,"Bridge Improvement Demonstration Project, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
013-0554,"Broadband Technology Opportunities Program - Recovery Act, National Telecommunications and Information Administration, Commerce",Department of Commerce,Commerce and Housing Credit,Other advancement of commerce,168849836.99,934549.98,0.00,0.00,0.00,0.00,0.00,169784386.97,0.00,934549.98,169784386.97,21173236.39,169784386.97
514-0204,"Broadcasting Capital Improvements, Broadcasting Board of Governors",Broadcasting Board of Governors,International Affairs,Foreign information and exchange activities,7200966.32,129711.76,9700000.00,0.00,0.00,0.00,0.00,17030678.08,7341052.56,129711.76,9689625.52,9693270.04,17030678.08
514-0208,"Broadcasting to Cuba, Broadcasting Board of Governors",Broadcasting Board of Governors,International Affairs,Foreign information and exchange activities,28143.75,0.00,0.00,0.00,0.00,0.00,0.00,28143.75,0.00,0.00,28143.75,0.00,28143.75
086-0314,"Brownfields Redevelopment, Community Planning and Development, Housing and Urban Development",Department of Housing and Urban Development,Community and Regional Development,Community development,114717.50,0.00,0.00,0.00,0.00,0.00,0.00,114717.50,0.00,0.00,114717.50,0.00,114717.50
020-0935,"Build America Bond Payments - Recovery Act, Internal Revenue Service, Treasury",Department of the Treasury,General Government,General purpose fiscal assistance,0.00,0.00,3628767036.35,0.00,0.00,0.00,0.00,3628767036.35,3628767036.35,0.00,0.00,3628767036.35,3628767036.35
097-4931,"Building Maintenance Fund, Defense",Department of Defense,National Defense,Department of Defense-Military,71457224.09,685414263.79,0.00,0.00,0.00,538000528.50,538000528.50,1294872016.38,1279740898.24,685414263.79,15131118.14,361232607.54,1294872016.38
012-1401,"Buildings and Facilities, Agricultural Research Service, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,248664636.28,0.00,99600000.00,0.00,0.00,0.00,0.00,348264636.28,147268942.34,0.00,200995693.94,5709756.37,348264636.28
012-1601,"Buildings and Facilities, Animal and Plant Health Inspection Service, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,755040.23,16801.95,50175000.00,0.00,0.00,0.00,0.00,50946842.18,1797866.36,16801.95,49148975.82,4196128.18,50946842.18
075-0960,"Buildings and Facilities, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,Health,Health care services,2670231.15,4008640.03,10000000.00,0.00,0.00,0.00,0.00,16678871.18,9468752.75,8640.03,7210118.43,7001700.21,16678871.18
068-0110,"Buildings and Facilities, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,12356925.78,14062001.24,34467000.00,0.00,0.00,0.00,0.00,60885927.02,44193256.83,14062001.24,16692670.19,21004090.10,60885927.02
015-1003,"Buildings and Facilities, Federal Prison System, Justice",Department of Justice,Administration of Justice,Federal correctional activities,496570663.56,0.00,126600000.00,0.00,0.00,34147.00,34147.00,623204810.56,92411048.12,0.00,530793762.44,98008022.08,623204810.56
075-0603,"Buildings and Facilities, Food and Drug Administration, Health and Human Services",Department of Health and Human Services,Health,Consumer and occupational health and safety,3381939.97,37165.90,11788000.00,0.00,0.00,0.00,0.00,15207105.87,9242871.58,37165.90,5964234.29,7300706.74,15207105.87
012-1501,"Buildings and Facilities, National Institute of Food and Agriculture, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,1669361.83,900.00,0.00,0.00,0.00,0.00,0.00,1670261.83,7363.47,900.00,1662898.36,1719161.85,1670261.83
075-0838,"Buildings and Facilities, National Institutes of Health, Health and Human Services",Department of Health and Human Services,Health,Health research and training,75470744.18,7745590.45,128567000.00,0.00,0.00,0.00,0.00,211783334.63,176824326.86,7745590.45,34959007.77,159000555.89,211783334.63
097-5441,"Burden Sharing Contribution, Defense",Department of Defense,National Defense,Department of Defense-Military,752236667.59,0.00,611027731.59,0.00,0.00,0.00,0.00,1363264399.18,478835190.56,0.00,884429208.62,478835190.56,1363264399.18
581-5577,"Bureau of Consumer Financial Protection Fund, Bureau of Consumer Financial Protection",Consumer Financial Protection Bureau,Commerce and Housing Credit,Other advancement of commerce,141745668.95,19460372.49,604965600.07,0.00,0.00,4449503.02,4449503.02,770621144.53,593525720.47,19460372.49,177095424.06,641684816.28,770621144.53
020-4502,"Bureau of Engraving and Printing Fund, Treasury",Department of the Treasury,General Government,Central fiscal operations,134224017.99,-54461991.42,0.00,0.00,0.00,706170483.87,706170483.87,785932510.44,712074466.36,12424748.33,73858044.08,699858052.36,785932510.44
014-0685,"Bureau of Reclamation Loans Program Account, Bureau of Reclamation, Interior",Department of the Interior,Natural Resources and Environment,Water resources,5734.43,0.00,0.00,0.00,0.00,0.00,0.00,5734.43,157.02,0.00,5577.41,157.02,5734.43
073-8466,"Business Assistance Trust Fund, Small Business Administration",Small Business Administration,Commerce and Housing Credit,Other advancement of commerce,175807.82,4323.82,0.00,0.00,0.00,105236.99,105236.99,285368.63,12908.86,4323.82,272459.77,41743.14,285368.63
073-4154,"Business Loan and Investment Fund, Liquidating Account, Small Business Administration",Small Business Administration,Commerce and Housing Credit,Other advancement of commerce,0.00,0.00,2705004.65,0.00,0.00,0.00,0.00,2705004.65,2705004.65,0.00,0.00,642859.34,2705004.65
073-1156,"Business Loans Program Account - Recovery Act, Small Business Administration",Small Business Administration,Commerce and Housing Credit,Other advancement of commerce,0.00,0.00,20042247.00,0.00,0.00,0.00,0.00,20042247.00,20042247.00,0.00,0.00,20042247.00,20042247.00
073-1154,"Business Loans Program Account, Small Business Administration",Small Business Administration,Commerce and Housing Credit,Other advancement of commerce,116182558.76,6018978.28,721235542.00,0.00,0.00,0.00,0.00,843437079.04,776228182.00,11833531.72,67208897.04,786780523.13,843437079.04
020-0921,"Business Systems Modernization, Internal Revenue Service, Treasury",Department of the Treasury,General Government,Central fiscal operations,196723613.61,1719901.23,315463593.00,0.00,0.00,0.00,0.00,513907107.84,314757001.28,6106306.39,199150106.56,418133759.96,513907107.84
019-0524,"Buying Power Maintenance Account, State",Department of State,International Affairs,Conduct of foreign affairs,53891000.00,-765000.00,0.00,0.00,0.00,0.00,0.00,53126000.00,0.00,0.00,53126000.00,0.00,53126000.00
514-1147,"Buying Power Maintenance, Broadcasting Board of Governors",Broadcasting Board of Governors,International Affairs,Foreign information and exchange activities,6468400.00,173703.00,0.00,0.00,0.00,0.00,0.00,6642103.00,0.00,0.00,6642103.00,0.00,6642103.00
014-0687,"California Bay-Delta Restoration, Bureau of Reclamation, Interior",Department of the Interior,Natural Resources and Environment,Water resources,2325107.89,3354661.32,36000000.00,0.00,0.00,0.00,0.00,41679769.21,39817080.16,3354661.32,1862689.05,34774025.12,41679769.21
036-4014,"Canteen Service Revolving Fund, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Other veterans benefits and services,25063540.75,1861963.84,0.00,0.00,0.00,510688036.41,510688036.41,537613541.00,500488888.54,1861963.84,37124652.46,519112723.38,537613541.00
069-0125,"Capital and Debt Service Grants to the National Railroad Passenger Corporation, Federal Railroad Administration, Transportation",Department of Transportation,Transportation,Ground transportation,23718015.34,18.50,0.00,0.00,0.00,0.00,0.00,23718033.84,11188440.24,18.50,12529593.60,267686951.36,23718033.84
069-0719,"Capital Assistance for High Speed Rail Corridors and Intercity Passenger Rail Service, Federal Railroad Administration, Transportation",Department of Transportation,Transportation,Ground transportation,66466603.70,486477.70,0.00,0.00,0.00,0.00,0.00,66953081.40,11072887.41,486477.70,55880193.99,130794262.29,66953081.40
069-0718,"Capital Assistance for High Speed Rail Corridors and Intercity Passenger Rail Service - Recovery Act, Federal Railroad Administration, Transportation",Department of Transportation,Transportation,Ground transportation,38222406.09,-37938085.11,0.00,0.00,0.00,0.00,0.00,284320.98,0.00,209707822.14,284320.98,2447904576.04,284320.98
069-0724,"Capital Grants to the National Railroad Passenger Corporation - Recovery Act, Federal Railroad Administration, Transportation",Department of Transportation,Transportation,Ground transportation,472206.93,0.00,0.00,0.00,0.00,0.00,0.00,472206.93,0.00,0.00,472206.93,0.00,472206.93
012-1103,"Capital Improvement and Maintenance, Forest Service, Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,49280862.77,7242576.25,349271000.00,0.00,0.00,24730496.71,24730496.71,430524935.73,393470117.12,13159826.50,37054818.61,366108442.05,430524935.73
072-0300,"Capital Investment Fund of the United States Agency for International Development, Funds Appropriated to the President",Agency for International Development,International Affairs,International development and humanitarian assistance,12792625.54,963917.45,199985000.00,0.00,0.00,0.00,0.00,213741542.99,195310778.13,963917.45,18430764.86,184615159.15,213741542.99
019-0120,"Capital Investment Fund, State",Department of State,International Affairs,Conduct of foreign affairs,7945164.19,1406734.15,12600000.00,0.00,0.00,0.00,0.00,21951898.34,313697.77,1406734.15,21638200.57,44677890.26,21951898.34
069-1134,"Capital Investment Grants, Federal Transit Administration, Transportation",Department of Transportation,Transportation,Ground transportation,1845563553.77,157726058.41,2412637000.00,0.00,0.00,0.00,0.00,4415926612.18,1774368362.60,157726058.41,2641558249.58,1906774616.11,4415926612.18
069-1133,"Capital Investment Grants - Recovery Act, Federal Transit Administration, Transportation",Department of Transportation,Transportation,Ground transportation,44285.20,-35134.05,0.00,0.00,0.00,0.00,0.00,9151.15,9151.15,63072.33,0.00,0.00,9151.15
020-8524,"Capital Magnet Fund, Community Development Financial Institutions, Departmental Offices, Treasury",Department of the Treasury,Community and Regional Development,Community development,2000000.55,50000.00,117993656.07,0.00,0.00,0.00,0.00,120043656.62,1276502.51,50000.00,118767154.11,91004795.50,120043656.62
033-0303,"Capital Repair and Restoration, John F. Kennedy Center for the Performing Arts",,"Education, Training, Employment, and Social Services",Research and general education aids,3413172.64,281372.90,14140000.00,0.00,0.00,0.00,0.00,17834545.54,5828716.94,281372.90,12005828.60,19354507.04,17834545.54
091-0400,"Career, Technical, and Adult Education, Education",Department of Education,"Education, Training, Employment, and Social Services","Elementary, secondary, and vocational education",25522592.35,6201544.81,1720686000.00,0.00,0.00,250000.00,250000.00,1752660137.16,1719110885.16,9215420.36,33549252.00,1748619027.96,1752660137.16
069-8002,"Carpool and Vanpool Projects, Federal Highway Administration",Department of Transportation,Transportation,Ground transportation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
014-5558,"Carson City Special Account, Bureau of Land Management, Interior",Department of the Interior,Natural Resources and Environment,Conservation and land management,76500.50,278.31,0.00,0.00,0.00,0.00,0.00,76778.81,278.31,278.31,76500.50,4354.00,76778.81
